family,species,unique_id,year_s,year_e,year_range,times_visited_annual_scale,latitude_mean,abs_latitude_mean,longitude_mean,spatial_pos,thermal_pos,slope,se_slope,r.squared,shift_of_min_sm,mean_shift,habitat,Vulnerability,sqrt_n,study_id,temporal_mismatch,bt_bs_dist_of_min_sm,BioShifts_prab,BioShifts_quality,BioShifts_ref,slope_pois,se_slope_pois,cv_pop,ln_ratio_fitted,inverse_se_pois,sqrt_inverse_se_pois,ABUNDANCE_TYPE,commercial_two_level
Agonidae,Agonus cataphractus,Agonus cataphractus 110 NA,1982,1997,16,16,54.62281713,54.62281713,-4.034854108,-0.125361127,-0.220361946,-0.0310837,0.055517983,0.021900452,-8.238,-8.238,b,26.21,4,110,5,574.9018152,ABUND,LOW,48,-0.0018,0.053662,5.822841957,-0.018099801,18.63516082,4.316846166,Presence/Absence,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 12,1946,1968,23,5,58.18753,58.18753,8.048447,0.023168576,-0.267784681,0,0,NA,-8.238,-8.238,b,26.21,2.236067977,428,-31,281.7450512,ABUND,LOW,48,0,0.049386,0,0,20.24865346,4.499850382,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 219,1970,1984,15,3,59.07866,59.07866,10.26049,0.060298993,-0.274781008,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-7,443.8063963,ABUND,LOW,48,0,0.099668,0,0,10.03331059,3.167540148,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 231,1954,2003,50,3,59.15929,59.15929,10.37584,0.063658576,-0.278267797,0.009516763,0.038461538,0.057692308,-8.238,-8.238,b,26.21,1.732050808,428,-23,454.4543118,ABUND,LOW,48,0.0042,0.024842,43.30127019,0.042144834,40.25440786,6.344636149,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 232,1945,1949,5,3,59.1648,59.1648,10.37655,0.063888159,-0.278267797,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-32,454.8548262,ABUND,LOW,48,0,0.339681,0,0,2.943938578,1.715790948,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 236,1939,1962,24,4,59.17054,59.17054,10.44571,0.064127326,-0.283999013,0.079575597,0.046248265,0.596816976,-8.238,-8.238,b,26.21,2,428,-38,458.3983683,ABUND,LOW,48,0.0327,0.055001,40,0.326621547,18.18148761,4.263975564,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 237,1974,2001,28,3,59.17,59.17,10.4495,0.064104826,-0.283999013,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-3,458.536097,ABUND,LOW,48,0,0.051434,0,0,19.44239219,4.409352809,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 238,1945,1980,36,5,59.17119,59.17119,10.45102,0.064154409,-0.283999013,0,0,NA,-8.238,-8.238,b,26.21,2.236067977,428,-32,458.6846907,ABUND,LOW,48,0,0.031038,0,0,32.21857078,5.676140483,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 253,1958,1995,38,3,59.54652,59.54652,10.25008,0.079793159,-0.300771213,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-19,476.2095232,ABUND,LOW,48,0,0.037216,0,0,26.87016337,5.183643831,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 257,1956,1992,37,5,59.52233,59.52233,10.33523,0.078785243,-0.303331981,0.027851381,0.037895403,0.152580071,-8.238,-8.238,b,26.21,2.236067977,428,-21,478.0454923,ABUND,LOW,48,0.0105,0.033073,37.26779962,0.105296503,30.23614429,5.498740245,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 292,1972,1993,22,3,59.80375,59.80375,10.49485,0.090511076,-0.307367424,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-5,505.6398494,ABUND,LOW,48,0,0.05969,0,0,16.753225,4.093070363,Count,Low commercial value
Agonidae,Agonus cataphractus,Agonus cataphractus 428 31,1971,1999,29,3,58.155,58.155,8.243148,0.021813159,-0.267019827,0,0,NA,-8.238,-8.238,b,26.21,1.732050808,428,-6,288.6595821,ABUND,LOW,48,0,0.046693,0,0,21.41648641,4.627794984,Count,Low commercial value
