"family","species","unique_id","n","sqrt_n","slope","shift_of_min_sm","study_id"
"Clupeidae","Alosa pseudoharengus","Alosa pseudoharengus 123 NA",10,3.16227766016838,0.0441366616852013,0,123
"Clupeidae","Alosa pseudoharengus","Alosa pseudoharengus 180 NA",25,5,-0.00180683746423562,0,180
"Clupeidae","Alosa pseudoharengus","Alosa pseudoharengus 213 NA",48,6.92820323027551,-0.00588025511552429,0,213
"Clupeidae","Alosa pseudoharengus","Alosa pseudoharengus 227 NA",4,2,-0.36063000848009,0,227
"Clupeidae","Alosa pseudoharengus","Alosa pseudoharengus 288 NA",26,5.09901951359278,0.0591750218834385,0,288
"Clupeidae","Alosa sapidissima","Alosa sapidissima 119 NA",40,6.32455532033676,0.0308486307517719,5.678,119
"Clupeidae","Alosa sapidissima","Alosa sapidissima 123 NA",10,3.16227766016838,0.128648981099998,5.678,123
"Clupeidae","Alosa sapidissima","Alosa sapidissima 178 NA",31,5.56776436283002,0,5.678,178
"Clupeidae","Alosa sapidissima","Alosa sapidissima 180 NA",25,5,0.0307156584009561,5.678,180
"Clupeidae","Alosa sapidissima","Alosa sapidissima 213 NA",46,6.78232998312527,-0.00814452252043435,5.678,213
"Clupeidae","Alosa sapidissima","Alosa sapidissima 288 NA",16,4,0.12609766197073,5.678,288
"Rajidae","Amblyraja radiata","Amblyraja radiata 119 NA",41,6.40312423743285,0.00832218557508159,-1.336,119
"Rajidae","Amblyraja radiata","Amblyraja radiata 123 NA",10,3.16227766016838,-0.16016956584978,-1.336,123
"Rajidae","Amblyraja radiata","Amblyraja radiata 180 NA",26,5.09901951359278,0.029821356971836,-1.336,180
"Rajidae","Amblyraja radiata","Amblyraja radiata 184 NA",5,2.23606797749979,0,-1.336,184
"Rajidae","Amblyraja radiata","Amblyraja radiata 213 NA",47,6.85565460040104,-0.0361628553793215,-1.336,213
"Rajidae","Amblyraja radiata","Amblyraja radiata 288 NA",28,5.29150262212918,0.0221932478005007,-1.336,288
"Anguillidae","Anguilla anguilla","Anguilla anguilla 110 NA",18,4.24264068711928,0.0573712829016025,7.203,110
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 110",4,2,-0.0459010734609551,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 111",6,2.44948974278318,0.0272419692931996,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 112",19,4.35889894354067,0.00113077435605248,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 113",5,2.23606797749979,0.0128551871242595,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 12",4,2,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 121",4,2,0.0118860976410107,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 122",19,4.35889894354067,-0.00490771125107054,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 126",5,2.23606797749979,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 128",6,2.44948974278318,0.0706066669013718,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 13",3,1.73205080756888,0.0115830115830128,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 130",3,1.73205080756888,0.478593089875659,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 141",3,1.73205080756888,0,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 15",14,3.74165738677394,-0.0138201323819473,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 151",8,2.82842712474619,-0.0142813882662247,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 152",6,2.44948974278318,0.00731205844378716,7.203,428
"Anguillidae","Anguilla anguilla","Anguilla anguilla 428 16",11,3.3166247903554,0.0030365504133419,7.203,428
